kernel_type,batch_size,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,request_throughput,input_throughput,output_throughput,imbalance_score
baseline,1,31357.061389302056,31053.849476011237,62909.84002743673,43.18691223475222,43.42788655019831,45.66021425285144,0.45567806191426585,10.678055917524297,23.148445545244705,0.5122623089522531
baseline,4,7577.130306430627,6643.302610493265,16099.158550070133,44.08915676592317,42.43347365059889,59.60668336336848,1.5784917401051743,36.98932310979792,80.18738039734286,0.5122623089522531
baseline,8,4486.937523569213,3283.1221574742813,10151.426090556779,55.170410667533424,60.460213469923474,69.18127423451847,2.2753816358944063,53.31977633445892,115.58938710343584,0.5122623089522531
baseline,16,2386.0470666278466,1014.7024434991181,4024.7806436382234,59.122571317117895,59.32872187986504,60.54375166627008,4.324017952614906,101.32615402294262,219.51597806108336,0.5122623089522531
baseline,32,875.5028786700374,903.2690550084226,904.5524274092168,58.55560486044,57.80150672944728,69.23381575335351,7.901644334790602,185.16186557859308,401.40353220736256,0.5122623089522531
mixed,1,11395.678054302698,10408.463930507423,24376.9072419632,68.19321382690386,68.18937906005885,70.40427258661093,1.0787615235038404,25.278978367439993,54.72916795909484,0.5122623089522531
mixed,4,1899.756068639302,176.74635600997135,3871.0687346046325,72.0378436492281,72.18910371011589,73.67965224683665,4.040299597705009,94.67768723955405,204.9778662569008,0.5122623089522531
mixed,8,198.23083356798938,198.343557480257,200.32083338068333,71.37040954477908,70.98804473993368,72.4604929098503,7.997459910674993,187.40714390681734,405.7377994682447,0.5122623089522531
mixed,16,200.7450967677869,200.76596000581048,202.73165697581135,69.49453647778732,69.14079934009351,70.53915396386196,8.195260980912085,192.0422823193732,415.7729070982731,0.5122623089522531
mixed,32,179.19186619498456,179.04501548036933,180.6460045732092,70.74493713070858,70.36623369029257,71.80653496915048,8.105622893397591,189.94176313528354,411.22526812503776,0.5122623089522531
